dataset,label,feature,mean,std,median,min,max
halueval,0,answer_length_tokens,4.0058,3.21965882979828,4.0,1.0,125.0
halueval,0,mean_token_probability,0.7772883752794334,0.19473174722986283,0.8393741498390834,3.007824716405594e-06,0.994811463356018
halueval,0,min_token_probability,0.48047315630209203,0.27305889730450633,0.5115513205528259,3.007824716405594e-06,0.9795657992362976
halueval,0,max_token_probability,0.9187456388907013,0.20796186137676836,0.998818963766098,3.007824716405594e-06,1.0
halueval,0,mean_token_logprob,-0.46593760412384755,0.7206772261251032,-0.2343439670919906,-12.714293479919434,-0.0052411997583476
halueval,0,min_token_logprob,-1.1763690101444721,1.4595021338089262,-0.6703073978424072,-12.714293479919434,-0.020645834505558
halueval,0,max_token_logprob,-0.16768396017520565,0.6366635676810095,-0.0011817384511231999,-12.714293479919434,0.0
halueval,0,sum_token_logprob,-1.3632782768109282,1.7314344285574972,-0.756510542041724,-22.320046494947743,-0.020645834505558
halueval,0,negative_mean_logprob,0.46593760412384755,0.7206772261251032,0.2343439670919906,0.0052411997583476,12.714293479919434
halueval,0,low_confidence_token_ratio,0.047391056856305784,0.15836976790271648,0.0,0.0,1.0
halueval,0,mean_token_entropy,0.8343435019867904,0.6455896380822755,0.6252951204776764,0.0407014517229981,5.901428699493408
halueval,0,min_token_entropy,0.30071467462760115,0.7200900533552098,0.011810565833002249,1.8768804466162692e-06,5.901428699493408
halueval,0,max_token_entropy,1.9367212561383844,0.7799073646179322,1.8563622832298279,0.1752375662326812,5.901428699493408
halueval,0,sum_token_entropy,2.375862192170828,1.1501584177085133,2.1911525554023683,0.2035072586149908,16.558938294270774
halueval,0,high_entropy_token_ratio,0.16591228246067233,0.26198988597853295,0.0,0.0,1.0
halueval,1,answer_length_tokens,15.9226,8.412198627503683,14.0,1.0,87.0
halueval,1,mean_token_probability,0.5935061150043895,0.16852411048880214,0.6166768283982492,1.4397272025234996e-05,0.9408513105294684
halueval,1,min_token_probability,0.006101085704493726,0.02275304340155518,0.0003199538768967,3.040739535165038e-11,0.7081180810928345
halueval,1,max_token_probability,0.9767415837445171,0.11736434402123187,0.9997068643569946,1.4397272025234996e-05,1.0
halueval,1,mean_token_logprob,-1.6884434251986429,1.0366370934811178,-1.457414265998919,-11.14847183227539,-0.1219598054885864
halueval,1,min_token_logprob,-8.2286382081151,3.0700544632776245,-8.047333717346191,-24.21633529663086,-0.3451444208621979
halueval,1,max_token_logprob,-0.05972548278965936,0.48018727170746395,-0.00029315227584445,-11.14847183227539,0.0
halueval,1,sum_token_logprob,-22.381474933493834,10.736426633154984,-20.904383216540737,-161.853498341472,-0.3658794164657593
halueval,1,negative_mean_logprob,1.6884434251986429,1.0366370934811178,1.457414265998919,0.1219598054885864,11.14847183227539
halueval,1,low_confidence_token_ratio,0.25307908552629843,0.16095001075691237,0.21875,0.0,1.0
halueval,1,mean_token_entropy,0.8859973937181977,0.45994372499423086,0.7871562932728251,0.1028208031164887,4.472538948059082
halueval,1,min_token_entropy,0.05628800081440047,0.22682003249140276,0.00342062395066015,1.547500261267487e-07,4.472538948059082
halueval,1,max_token_entropy,2.6731429554730655,0.9039484305401427,2.495466470718384,0.3949254155158996,7.972386360168457
halueval,1,sum_token_entropy,12.468858508401137,7.1250577780381334,10.915662168641575,0.4748272746801376,118.60244302800857
halueval,1,high_entropy_token_ratio,0.14307330200554694,0.14929309887505052,0.1,0.0,1.0
truthfulqa,0,answer_length_tokens,9.721153846153847,4.86124660559337,9.0,0.0,34.0
truthfulqa,0,mean_token_probability,0.4824572866521284,0.2262491802344923,0.5004614377742569,0.0,0.9810007363557816
truthfulqa,0,min_token_probability,0.023745048007962524,0.09287270340517577,0.0009334064961876,0.0,0.9745093584060668
truthfulqa,0,max_token_probability,0.8796265727013461,0.26405011168124043,0.9960744976997375,0.0,1.0
truthfulqa,0,mean_token_logprob,-2.1793351220320547,1.5819716958942842,-1.8855160505412831,-15.93971824645996,0.0
truthfulqa,0,min_token_logprob,-7.109507825749998,3.0911715551650945,-6.954708576202393,-19.07775115966797,0.0
truthfulqa,0,max_token_logprob,-0.3563719490082192,1.380475258394358,-0.0037591641303151,-15.93971824645996,0.0
truthfulqa,0,sum_token_logprob,-17.735254246868774,10.43287308142058,-16.126373116625473,-68.8121351627633,0.0
truthfulqa,0,negative_mean_logprob,2.1793351220320547,1.5819716958942842,1.8855160505412831,0.0,15.93971824645996
truthfulqa,0,low_confidence_token_ratio,0.3337873682708029,0.2280184520018122,0.2857142857142857,0.0,1.0
truthfulqa,0,mean_token_entropy,1.436453840239708,0.760915981575681,1.3077987705667815,0.0,4.566850900650024
truthfulqa,0,min_token_entropy,0.3156852001183366,0.6240735146075673,0.0336696989834308,0.0,4.293096542358398
truthfulqa,0,max_token_entropy,3.302082315878226,1.1699100137416072,3.3021962642669678,0.0,7.041489601135254
truthfulqa,0,sum_token_entropy,12.601937626754701,7.709393388398109,11.047820374369621,0.0,48.77675322443247
truthfulqa,0,high_entropy_token_ratio,0.3085650381921371,0.2483615856538111,0.25,0.0,1.0
truthfulqa,1,answer_length_tokens,9.272453285111514,4.750567686758656,9.0,0.0,34.0
truthfulqa,1,mean_token_probability,0.5613355318841794,0.22016774491193927,0.5895280833565699,0.0,0.978070080280304
truthfulqa,1,min_token_probability,0.038585171373723526,0.11868161052471121,0.0018841736018657,0.0,0.8794668316841125
truthfulqa,1,max_token_probability,0.9122398485911613,0.2287834390206903,0.998000293970108,0.0,1.0
truthfulqa,1,mean_token_logprob,-1.78704669662587,1.397853808923514,-1.4757665922367043,-11.63506317138672,0.0
truthfulqa,1,min_token_logprob,-6.458873472510511,3.250195281381995,-6.220178127288818,-22.747264862060547,0.0
truthfulqa,1,max_token_logprob,-0.2668630567419897,1.155124984860383,-0.0019312913063913,-11.63506317138672,0.0
truthfulqa,1,sum_token_logprob,-13.534645889540947,8.737090277196927,-12.000600463652518,-58.01528320796206,0.0
truthfulqa,1,negative_mean_logprob,1.78704669662587,1.397853808923514,1.4757665922367043,0.0,11.63506317138672
truthfulqa,1,low_confidence_token_ratio,0.2694734369865663,0.21384728111392518,0.2222222222222222,0.0,1.0
truthfulqa,1,mean_token_entropy,1.3075515574537548,0.7313593450425457,1.1692024358060389,0.0,5.342472553253174
truthfulqa,1,min_token_entropy,0.25950467204301014,0.6015465076469887,0.017780628055334,0.0,4.910012245178223
truthfulqa,1,max_token_entropy,3.3671808914023758,1.2671541859102944,3.2997148036956787,0.0,7.139228820800781
truthfulqa,1,sum_token_entropy,10.636213772672253,6.483396478929539,9.45126647502184,0.0,44.155627460218966
truthfulqa,1,high_entropy_token_ratio,0.28032234337671025,0.23833636724063256,0.2222222222222222,0.0,1.0
