feature,halueval_mean,truthfulqa_mean,mean_difference,halueval_std,truthfulqa_std,standardized_difference
max_token_entropy,2.304932105805725,3.338580638552969,1.033648532747244,0.9209991878962026,1.225706371201927,0.9534522099998654
min_token_probability,0.2432871210032929,0.03206534698187179,-0.21122177402142112,0.3062639098349012,0.10834639146538204,-0.9195011839446635
mean_token_entropy,0.8601704478524942,1.3641831788196686,0.5040127309671744,0.5610868567571595,0.7471700717980715,0.7628323324850139
mean_token_probability,0.6853972451419115,0.526681351822785,-0.1587158933191265,0.2039685233364095,0.22625413208931178,-0.7368434973646266
low_confidence_token_ratio,0.15023507119130214,0.2977289661077246,0.14749389491642245,0.1899186407877876,0.22246883705889273,0.7130991427403632
mean_token_logprob,-1.0771905146612455,-1.9593937574667084,-0.8822032428054629,1.0819450148704346,1.4941765395630409,-0.676303941232487
negative_mean_logprob,1.0771905146612455,1.9593937574667084,0.8822032428054629,1.0819450148704346,1.4941765395630409,0.676303941232487
high_entropy_token_ratio,0.15449279223310963,0.2927304215315108,0.13823762929840117,0.213522136672275,0.2431754743098089,0.6041071664681633
sum_token_entropy,7.422360350285983,11.499830200623313,4.07746985033733,7.177170134940677,7.114931455198404,0.5705852512628846
min_token_logprob,-4.702503609129787,-6.74472161688744,-2.0422180077576533,4.26751080450679,3.1973943175857005,-0.5416149507646201
sum_token_logprob,-11.872376605152382,-15.380131142844824,-3.507754537692442,13.022214641032164,9.744222546112441,-0.3050060206034698
max_token_probability,0.9477436113176092,0.8979116097750883,-0.049832001542520876,0.17132063896127292,0.2454167004128235,-0.23546020273791382
max_token_logprob,-0.11370472148243252,-0.30618767990728146,-0.19248295842484894,0.5664434325361475,1.2597795916495504,-0.1970739232015841
min_token_entropy,0.1785013377210008,0.2841868912041877,0.10568555348318692,0.5476413995148836,0.6121290082683472,0.18197145303886536
answer_length_tokens,9.9642,9.469584319026698,-0.4946156809733022,8.721692596972666,4.804264505711119,-0.07024881036927388
